Date,Covishield,Covaxin,Sputnik,Corbevax,Dose 1,Dose 2,Precaution Dose
2021-03-08,5567,94172,0,0,74216,25304,0
2021-03-09,5574,102821,0,0,80306,28097,0
2021-03-10,5574,112937,0,0,87373,31146,0
2021-03-11,5574,121691,0,0,94008,33266,0
2021-03-12,5667,132243,0,0,102346,35573,0
2021-03-13,6112,141296,0,0,110318,37099,0
2021-03-14,6112,142204,0,0,111166,37159,0
2021-03-15,6780,152282,0,0,120198,38873,0
2021-03-16,7601,187798,0,0,155171,40228,0
2021-03-17,8353,253038,0,0,220134,41257,0
2021-03-18,9145,267601,0,0,234648,42098,0
2021-03-19,9773,281458,0,0,248474,42757,0
2021-03-20,10485,296162,0,0,263258,43389,0
2021-03-21,10493,297128,0,0,264215,43406,0
2021-03-22,11944,309915,0,0,277189,44670,0
2021-03-23,13592,322190,0,0,289769,46013,0
2021-03-24,13973,334736,0,0,302218,46491,0
2021-03-25,14335,349642,0,0,317143,46834,0
2021-03-26,14643,363494,0,0,330956,47181,0
2021-03-27,14992,378276,0,0,345767,47501,0
2021-03-28,14993,379236,0,0,346715,47514,0
2021-03-29,15285,398574,0,0,366031,47828,0
2021-03-30,15577,416505,0,0,383704,48378,0
2021-03-31,15896,431264,0,0,398211,48949,0
2021-04-01,16040,444879,0,0,411606,49313,0
2021-04-02,16336,451557,0,0,418176,49717,0
2021-04-03,16434,466577,0,0,432470,50541,0
2021-04-04,16725,473615,0,0,439339,51001,0
2021-04-05,16893,486868,0,0,451855,51906,0
2021-04-06,17073,490853,0,0,455696,52230,0
2021-04-07,17424,506624,0,0,470468,53580,0
2021-04-08,17650,527043,0,0,488761,55932,0
2021-04-09,17929,548848,0,0,508305,58472,0
2021-04-10,18315,578002,0,0,534837,61480,0
2021-04-11,18623,591428,0,0,547521,62530,0
2021-04-12,20259,624497,0,0,578486,66270,0
2021-04-13,21552,640626,0,0,593052,69126,0
2021-04-14,22464,644569,0,0,596973,70060,0
2021-04-15,27418,650142,0,0,605476,72084,0
2021-04-16,32375,651648,0,0,611049,72974,0
2021-04-17,35085,665900,0,0,621625,79360,0
2021-04-18,36470,673462,0,0,627459,82473,0
2021-04-19,39844,690394,0,0,639705,90533,0
2021-04-20,42691,698718,0,0,646424,94985,0
2021-04-21,44353,702619,0,0,649358,97614,0
2021-04-22,45594,703817,0,0,650564,98847,0
2021-04-23,46127,718319,0,0,656008,108438,0
2021-04-24,46853,732715,0,0,661574,117994,0
2021-04-25,46853,732777,0,0,661560,118070,0
2021-04-26,47452,747477,0,0,668116,126813,0
2021-04-27,48113,762185,0,0,674564,135734,0
2021-04-28,48779,769551,0,0,677858,140472,0
2021-04-29,49864,791513,0,0,685868,155509,0
2021-04-30,51126,809302,0,0,690009,170419,0
2021-05-01,51122,808888,0,0,689591,170419,0
2021-05-02,51122,808868,0,0,689571,170419,0
2021-05-03,51721,818226,0,0,691409,178538,0
2021-05-04,52264,824850,0,0,692557,184557,0
2021-05-05,52879,831763,0,0,694098,190544,0
2021-05-06,53497,859444,0,0,699515,213426,0
2021-05-07,54158,868057,0,0,702360,219855,0
2021-05-08,54943,881919,0,0,706488,230374,0
2021-05-09,54943,881914,0,0,706483,230374,0
2021-05-10,55654,889038,0,0,708344,236348,0
2021-05-11,56591,888908,0,0,708785,236714,0
2021-05-12,60232,891997,0,0,712461,239768,0
2021-05-13,61405,905247,0,0,716244,250408,0
2021-05-14,61399,905204,0,0,716195,250408,0
2021-05-15,74936,913901,0,0,732246,256591,0
2021-05-16,78208,915108,0,0,734622,258694,0
2021-05-17,78203,915221,0,0,734730,258694,0
2021-05-18,79197,916608,0,0,736854,258951,0
2021-05-19,79308,916860,0,0,737202,258966,0
2021-05-20,79307,916991,0,0,737332,258966,0
2021-05-21,79871,917917,0,0,738822,258966,0
2021-05-22,80463,929418,0,0,750915,258966,0
2021-05-23,81226,931666,0,0,753927,258965,0
2021-05-24,81843,934661,0,0,757536,258968,0
2021-05-25,82604,955346,0,0,778982,258968,0
2021-05-26,83301,964261,0,0,788588,258974,0
2021-05-27,85299,970515,0,0,795622,260192,0
2021-05-28,85864,976850,0,0,802522,260192,0
2021-05-29,90349,1002793,0,0,828401,264741,0
2021-05-30,92755,1008164,0,0,833838,267081,0
2021-05-31,97031,1033244,0,0,858964,271311,0
2021-06-01,98866,1049902,0,0,875589,273179,0
2021-06-02,101092,1061831,0,0,888250,274673,0
2021-06-03,103146,1072211,0,0,899262,276095,0
2021-06-04,104689,1103900,19,0,930937,277671,0
2021-06-05,106193,1129024,22,0,956338,278901,0
2021-06-06,107426,1137295,22,0,965494,279249,0
2021-06-07,114968,1145293,22,0,980165,280118,0
2021-06-08,121904,1151702,22,0,993135,280493,0
2021-06-09,127180,1159146,22,0,1004945,281403,0
2021-06-10,128738,1163861,22,0,1010535,282086,0
2021-06-11,128785,1168200,22,0,1014589,282418,0
2021-06-12,128775,1173067,22,0,1019205,282659,0
2021-06-13,128771,1190406,22,0,1036262,282937,0
2021-06-14,128762,1237150,22,0,1072316,293618,0
2021-06-15,128752,1246646,22,0,1080731,294689,0
2021-06-16,128747,1250977,22,0,1084790,294956,0
2021-06-17,128733,1270755,22,0,1103969,295541,0
2021-06-18,128718,1279715,22,0,1112316,296139,0
2021-06-19,128699,1296428,22,0,1126086,299063,0
2021-06-20,128697,1316231,22,0,1141469,303481,0
2021-06-21,131860,1359239,22,0,1171198,319923,0
2021-06-22,136599,1383071,22,0,1189554,330138,0
2021-06-23,139155,1403274,22,0,1202380,340071,0
2021-06-24,144843,1418504,22,0,1213791,349578,0
2021-06-25,146150,1441385,22,0,1227302,360255,0
2021-06-26,147373,1458898,22,0,1237928,368365,0
2021-06-27,148558,1466501,22,0,1242891,372190,0
2021-06-28,151624,1489479,40,0,1255621,385522,0
2021-06-29,154726,1502748,40,0,1265476,392038,0
2021-06-30,155368,1520564,40,0,1277127,398845,0
2021-07-01,159999,1534471,164,0,1288262,406372,0
2021-07-02,160927,1580051,164,0,1307676,433466,0
2021-07-03,169184,1589520,204,0,1321203,437705,0
2021-07-04,170863,1591350,204,0,1323681,438736,0
2021-07-05,173357,1595458,219,0,1327944,441090,0
2021-07-06,174446,1599221,219,0,1330694,443192,0
2021-07-07,174530,1601695,274,0,1332268,444231,0
2021-07-08,178017,1619451,294,0,1338691,459071,0
2021-07-09,178017,1662845,395,0,1350013,491244,0
2021-07-10,180007,1691050,440,0,1358618,512879,0
2021-07-11,186199,1691887,440,0,1361309,517217,0
2021-07-12,187099,1695315,790,0,1363591,519613,0
2021-07-13,187282,1697225,1227,0,1365293,520441,0
2021-07-14,187884,1721901,1861,0,1377274,534372,0
2021-07-15,187999,1727704,2447,0,1380141,538009,0
2021-07-16,187999,1751821,3044,0,1388448,554416,0
2021-07-17,188039,1758829,3699,0,1393592,556975,0
2021-07-18,188039,1760400,3699,0,1394702,557436,0
2021-07-19,188039,1806103,4259,0,1408008,590393,0
2021-07-20,190632,1838918,4752,0,1423670,610632,0
2021-07-21,191056,1854665,5173,0,1433744,617150,0
2021-07-22,191295,1864480,5646,0,1441489,619932,0
2021-07-23,191517,1870548,6215,0,1446432,621848,0
2021-07-24,201230,1898627,6578,0,1467219,639216,0
2021-07-25,206063,1901304,6752,0,1473778,640341,0
2021-07-26,206323,1905784,7076,0,1477997,641186,0
2021-07-27,206615,1910691,7322,0,1482426,642202,0
2021-07-28,206779,1915919,7597,0,1487207,643088,0
2021-07-29,214441,1926640,7945,0,1501349,647677,0
2021-07-30,216949,2025668,7969,0,1577326,673260,0
2021-07-31,217859,2033241,8233,0,1584160,675173,0
2021-08-01,2057767,218462,8349,0,1604810,679768,0
2021-08-02,2107580,220873,8660,0,1646722,690391,0
2021-08-03,2127636,221432,9044,0,1664249,693863,0
2021-08-04,2130314,230396,9274,0,1670062,699922,0
2021-08-05,2159089,231539,9544,0,1694544,705628,0
2021-08-06,2164589,248777,10028,0,1713985,709409,0
2021-08-07,2202074,248936,10585,0,1745589,716006,0
2021-08-08,2207218,250095,10920,0,1750549,717684,0
2021-08-09,2212221,250307,11372,0,1755463,718437,0
2021-08-10,2216303,250451,11908,0,1759282,719380,0
2021-08-11,2246191,253412,12334,0,1790190,721747,0
2021-08-12,2285614,274191,12831,0,1841466,731170,0
2021-08-13,2336092,286525,13258,0,1897914,737961,0
2021-08-14,2380469,305312,13787,0,1955708,743860,0
2021-08-15,2413906,309663,13995,0,1989142,748422,0
2021-08-16,2434302,314754,14276,0,2012234,751098,0
2021-08-17,2463733,317723,14473,0,2039485,756444,0
2021-08-18,2494712,318707,14653,0,2066423,761649,0
2021-08-19,2498191,318764,14780,0,2069073,762662,0
2021-08-20,2515195,319011,14850,0,2082960,766096,0
2021-08-21,2515773,319013,14849,0,2083355,766280,0
2021-08-22,2518117,319098,14880,0,2084911,767184,0
2021-08-23,2538342,319874,15125,0,2099631,773710,0
2021-08-24,2605175,319956,15334,0,2143707,796758,0
2021-08-25,2659155,322442,15505,0,2181562,815540,0
2021-08-26,2671877,332150,15659,0,2195449,824237,0
2021-08-27,2714671,338917,15798,0,2224856,844530,0
2021-08-28,2723008,343356,15880,0,2231037,851207,0
2021-08-29,2751829,344413,15897,0,2246582,865557,0
2021-08-30,2796364,347384,16046,0,2271627,888167,0
2021-08-31,2826183,353199,16186,0,2292933,902635,0
2021-09-01,2830451,357959,16338,0,2298340,906408,0
2021-09-02,2836182,363056,16456,0,2304344,911350,0
2021-09-03,2843551,368374,16557,0,2310220,918262,0
2021-09-04,2848183,371634,16620,0,2312448,923989,0
2021-09-05,2850554,372232,16641,0,2313200,926227,0
2021-09-06,2853720,372649,16738,0,2313893,929214,0
2021-09-07,2947805,372803,16889,0,2356381,981116,0
2021-09-08,2964741,378201,17144,0,2364724,995362,0
2021-09-09,2976213,379770,17462,0,2369497,1003948,0
2021-09-10,3034394,380917,17764,0,2398545,1034530,0
2021-09-11,3060886,382174,17951,0,2411230,1049781,0
2021-09-12,3067777,382851,18021,0,2413297,1055352,0
2021-09-13,3082708,384647,18138,0,2418598,1066895,0
2021-09-14,3085407,385578,18244,0,2419528,1069701,0
2021-09-15,3134660,385857,18323,0,2438089,1100751,0
2021-09-16,3171869,386375,18389,0,2454750,1121883,0
2021-09-17,3220316,387466,18504,0,2474695,1151591,0
2021-09-18,3228970,387626,18539,0,2477874,1157261,0
2021-09-19,3237214,388079,18593,0,2480217,1163669,0
2021-09-20,3260310,388560,18685,0,2489698,1177857,0
2021-09-21,3272751,396563,18752,0,2494045,1194021,0
2021-09-22,3290320,396964,18800,0,2500351,1205733,0
2021-09-23,3299758,406440,18846,0,2503546,1221498,0
2021-09-24,3316821,406552,18906,0,2508494,1233785,0
2021-09-25,3334426,406976,18982,0,2513610,1246774,0
2021-09-26,3340658,407372,19027,0,2515823,1251234,0
2021-09-27,3345750,407409,19055,0,2517384,1254830,0
2021-09-28,3353992,421164,19118,0,2520237,1274037,0
2021-09-29,3365865,422059,19233,0,2524650,1282507,0
2021-09-30,3374685,427697,19358,0,2527586,1294154,0
2021-10-01,3384455,427893,19495,0,2530495,1301348,0
2021-10-02,3391859,439596,19617,0,2533240,1317832,0
2021-10-03,3392609,439633,19713,0,2533509,1318446,0
2021-10-04,3403141,443354,19803,0,2537150,1329148,0
2021-10-05,3411865,443382,19901,0,2539806,1335342,0
2021-10-06,3414426,443400,20001,0,2540458,1337369,0
2021-10-07,3414920,454955,20078,0,2541777,1348176,0
2021-10-08,3430581,455006,20173,0,2545985,1359775,0
2021-10-09,3435037,455177,20302,0,2547258,1363258,0
2021-10-10,3437482,455194,20380,0,2547872,1365184,0
2021-10-11,3440894,455247,20445,0,2549105,1367481,0
2021-10-12,3459051,455340,20526,0,2553578,1381339,0
2021-10-13,3463036,455416,20601,0,2554327,1384726,0
2021-10-14,3463574,463577,20672,0,2555619,1392204,0
2021-10-15,3482639,463686,20737,0,2559425,1407637,0
2021-10-16,3486729,463922,20804,0,2560071,1411384,0
2021-10-17,3489590,463977,20863,0,2560423,1414007,0
2021-10-18,3493365,464116,20907,0,2560949,1417439,0
2021-10-19,3511865,464172,20975,0,2564021,1432991,0
2021-10-20,3514726,464223,21019,0,2564462,1435506,0
2021-10-21,3515314,468523,21063,0,2565228,1439672,0
2021-10-22,3545808,468667,21117,0,2568598,1466994,0
2021-10-23,3549669,468767,21166,0,2568993,1470609,0
2021-10-24,3552265,468873,21199,0,2569291,1473046,0
2021-10-25,3557245,468990,21231,0,2569822,1477644,0
2021-10-26,3596820,469079,21247,0,2573187,1513959,0
2021-10-27,3601285,469112,21287,0,2573621,1518063,0
2021-10-28,3601748,472546,21332,0,2574349,1521277,0
2021-10-29,3639703,472624,21378,0,2577836,1555869,0
2021-10-30,3643454,472646,21414,0,2578157,1559357,0
2021-10-31,3646605,472879,21434,0,2578575,1562343,0
2021-11-01,3651281,472891,21446,0,2579065,1566553,0
2021-11-02,3678582,472916,21454,0,2581637,1591315,0
2021-11-03,3682106,472925,21468,0,2581923,1594576,0
2021-11-04,3682600,475458,21479,0,2582547,1596990,0
2021-11-05,3719159,475493,21501,0,2585387,1630766,0
2021-11-06,3722994,475513,21550,0,2585728,1634329,0
2021-11-07,3725230,475522,21605,0,2585885,1636472,0
2021-11-08,3729796,475532,21633,0,2586224,1640737,0
2021-11-09,3770404,475579,21647,0,2588661,1678969,0
2021-11-10,3774781,475583,21670,0,2588975,1683059,0
2021-11-11,3775516,477892,21693,0,2589193,1685908,0
2021-11-12,3820913,477936,21713,0,2591941,1728621,0
2021-11-13,3824230,477962,21745,0,2592177,1731760,0
2021-11-14,3826567,477975,21763,0,2592377,1733928,0
2021-11-15,3831459,477984,21774,0,2592738,1738479,0
2021-11-16,3862771,477993,21785,0,2594679,1767870,0
2021-11-17,3866011,478003,21817,0,2594968,1770863,0
2021-11-18,3866580,479847,21834,0,2595106,1773155,0
2021-11-19,3899734,479863,21859,0,2597120,1804336,0
2021-11-20,3901794,479917,21889,0,2597367,1806233,0
2021-11-21,3902189,479931,21899,0,2597409,1806610,0
2021-11-22,3904537,480006,21921,0,2597604,1808860,0
2021-11-23,3909881,480061,21933,0,2597951,1813924,0
2021-11-24,3910509,480137,21944,0,2598016,1814574,0
2021-11-25,3911116,481354,21959,0,2598294,1816135,0
2021-11-26,3960300,481432,21981,0,2601056,1862657,0
2021-11-27,3970985,481448,22007,0,2601844,1872596,0
2021-11-28,3976054,481453,22025,0,2602175,1877357,0
2021-11-29,3981814,481464,22052,0,2602697,1882633,0
2021-11-30,4005352,481502,22074,0,2604308,1904620,0
2021-12-01,4024955,481544,22099,0,2606325,1922273,0
2021-12-02,4040120,483511,22129,0,2608224,1937536,0
2021-12-03,4069399,483570,22148,0,2611017,1964100,0
2021-12-04,4076359,483596,22190,0,2611953,1970192,0
2021-12-05,4076947,483865,22217,0,2612140,1970889,0
2021-12-06,4096515,483882,22244,0,2614132,1988509,0
2021-12-07,4104580,483891,22266,0,2615001,1995736,0
2021-12-08,4116071,483899,22288,0,2616256,2006002,0
2021-12-09,4125590,485558,22317,0,2617513,2015952,0
2021-12-10,4144781,485566,22348,0,2619426,2033269,0
2021-12-11,4158939,485589,22377,0,2620794,2046111,0
2021-12-12,4160300,485599,22393,0,2620950,2047342,0
2021-12-13,4172161,485612,22409,0,2622205,2057977,0
2021-12-14,4188778,485748,22421,0,2623823,2073124,0
2021-12-15,4192745,485757,22430,0,2624263,2076669,0
2021-12-16,4198807,487108,22436,0,2625074,2083277,0
2021-12-17,4216870,487153,22443,0,2626838,2099628,0
2021-12-18,4228290,487167,22450,0,2627902,2110005,0
2021-12-19,4236651,487192,22450,0,2628726,2117567,0
2021-12-20,4242972,487281,22452,0,2629535,2123170,0
2021-12-21,4254453,487290,22452,0,2630657,2133538,0
2021-12-22,4257981,487295,22454,0,2631113,2136617,0
2021-12-23,4261633,488485,22454,0,2631682,2140890,0
2021-12-24,4264863,488495,22461,0,2631993,2143826,0
2021-12-25,4265011,488499,22461,0,2632012,2143959,0
2021-12-26,4265197,488508,22461,0,2632041,2144125,0
2021-12-27,4277799,488514,22461,0,2633432,2155342,0
2021-12-28,4292054,488525,22463,0,2635125,2167917,0
2021-12-29,4296765,488535,22466,0,2635727,2172039,0
2021-12-30,4304051,489726,22469,0,2636787,2179459,0
2021-12-31,4314396,489765,22475,0,2637915,2188721,0
2022-01-01,4318367,489775,22477,0,2638455,2192164,0
2022-01-02,4319777,489783,22477,0,2638657,2193380,0
2022-01-03,4322809,503738,22483,0,2653083,2195947,0
2022-01-04,4326914,516161,22484,0,2666069,2199490,0
2022-01-05,4327254,516380,22485,0,2666358,2199761,0
2022-01-06,4338778,525213,22485,0,2676219,2210257,0
2022-01-07,4343294,536108,22487,0,2687491,2214398,0
2022-01-08,4346956,548136,22489,0,2699834,2217747,0
2022-01-09,4347244,556060,22489,0,2707636,2218157,0
2022-01-10,4356502,558996,22491,0,2710677,2220850,6462
2022-01-11,4372840,563784,22497,0,2716630,2230992,11499
2022-01-12,4376162,565385,22500,0,2718242,2232120,13685
2022-01-13,4381084,584599,22518,0,2737119,2234551,16531
2022-01-14,4388958,593378,22543,0,2745902,2239302,19675
2022-01-15,4395677,598318,22573,0,2750927,2242581,23060
2022-01-16,4396407,599060,22598,0,2751649,2242837,23579
2022-01-17,4405860,603328,22635,0,2756432,2247727,27664
2022-01-18,4420603,604995,22660,0,2759418,2256575,32265
2022-01-19,4423267,607664,22672,0,2762118,2257434,34051
2022-01-20,4426711,613517,22693,0,2767634,2259255,36032
2022-01-21,4440721,614425,22707,0,2769800,2267027,41026
2022-01-22,4449434,615635,22721,0,2771642,2270666,45482
2022-01-23,4449803,615735,22726,0,2771730,2270735,45799
2022-01-24,4458561,616121,22739,0,2772895,2274501,50025
2022-01-25,4466095,616804,22747,0,2774077,2277836,53733
2022-01-26,4466919,616864,22754,0,2774155,2278020,54362
2022-01-27,4468980,621812,22758,0,2778551,2278862,56137
2022-01-28,4474932,624079,22763,0,2780719,2280655,60400
2022-01-29,4478645,625798,22773,0,2782381,2281832,63003
2022-01-30,4478879,625809,22778,0,2782398,2281884,63184
2022-01-31,4490731,626153,22778,0,2783312,2286558,69792
2022-02-01,4497724,626601,22784,0,2783902,2289747,73460
2022-02-02,4499532,626847,22790,0,2784046,2290283,74840
2022-02-03,4501339,633320,22798,0,2786118,2294814,76525
2022-02-04,4513202,634027,22804,0,2786952,2298807,84274
2022-02-05,4520455,635224,22815,0,2787533,2301802,89159
2022-02-06,4520646,635383,22815,0,2787556,2301982,89306
2022-02-07,4527764,636164,22822,0,2788157,2304922,93671
2022-02-08,4535277,637945,22823,0,2788730,2311046,96269
2022-02-09,4533562,638074,22835,0,2788872,2308670,96929
2022-02-10,4534808,653618,22842,0,2791358,2321813,98097
2022-02-11,4542462,654327,22844,0,2791952,2325426,102255
